,Total Amount Funded,Monthly PAYMENT,Home Ownership,Monthly Income,Approx. Fico Score,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Last Delinquency,Last Record,EmployedCat,Status
9851,5000,155.05,MORTGAGE,6666.67,732.0,33.0,15060.0,30.3,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
9852,5000,155.05,OWN,4166.67,695.0,22.0,4024.0,37.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9853,6625,155.09,MORTGAGE,1916.25,695.0,26.0,9646.0,72.0,3.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9854,4500,155.1,RENT,3416.67,669.0,17.0,2296.0,49.9,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9855,4500,155.1,OWN,6000.0,669.0,31.0,5197.0,46.4,4.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9856,4500,155.14,OWN,4166.67,732.0,47.0,7114.0,9.2,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9857,4725,155.19,RENT,1650.0,732.0,7.0,4500.0,13.0,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Delinquent
9858,7000,155.22,MORTGAGE,2750.0,732.0,15.0,1920.0,80.0,4.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9859,4500,155.23,RENT,7500.0,669.0,31.0,6566.0,74.6,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9860,4500,155.23,RENT,2500.0,669.0,21.0,12154.0,83.8,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9861,5100,155.23,OWN,8166.67,770.0,46.0,14618.0,17.9,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9862,4500,155.23,MORTGAGE,6250.0,695.0,40.0,3578.0,65.0,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Delinquent
9863,7500,155.26,MORTGAGE,3583.33,790.0,37.0,1553.0,10.9,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9864,5000,155.3,RENT,1250.0,790.0,11.0,811.0,7.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9866,5000,155.3,RENT,4166.67,770.0,24.0,16685.0,47.5,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9867,5000,155.3,OWN,7150.0,790.0,17.0,1874.0,5.5,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9868,5000,155.3,RENT,6000.0,790.0,14.0,1751.0,6.1,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9869,5000,155.3,MORTGAGE,6200.0,770.0,38.0,8334.0,27.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9871,5000,155.3,MORTGAGE,4166.67,790.0,32.0,4432.0,6.8,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9872,8000,155.3,MORTGAGE,5833.0,770.0,38.0,10834.0,21.1,1.0,NEVER,NEVER,5_TO_9_YRS,Delinquent
9873,8000,155.3,MORTGAGE,4450.0,770.0,35.0,26491.0,51.6,3.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9874,4400,155.33,MORTGAGE,6833.33,695.0,19.0,24624.0,99.7,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9875,6000,155.35,RENT,4033.33,669.0,9.0,2651.0,54.1,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9876,4575,155.37,MORTGAGE,5333.33,695.0,31.0,8399.0,41.0,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Delinquent
9879,4500,155.38,RENT,4833.33,695.0,10.0,904.0,90.4,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9881,5000,155.38,RENT,3333.33,770.0,7.0,2562.0,14.0,2.0,JUST NOW,JUST NOW,5_TO_9_YRS,Not Delinquent
9882,5000,155.38,OWN,3750.0,790.0,11.0,1783.0,0.0,1.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
9883,5000,155.38,OWN,7083.33,790.0,19.0,216.0,0.6,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
9884,4500,155.38,MORTGAGE,2500.0,669.0,14.0,4865.0,76.0,0.0,LAST FIVE,LAST TEN,0_TO_4_YRS,Not Delinquent
9885,4500,155.38,RENT,7562.5,669.0,10.0,33054.0,82.8,1.0,NEVER,LAST TEN,5_TO_9_YRS,Not Delinquent
9886,5000,155.38,MORTGAGE,10000.0,770.0,16.0,8379.0,16.9,0.0,JUST NOW,JUST NOW,5_TO_9_YRS,Not Delinquent
9887,5000,155.38,MORTGAGE,7916.67,770.0,16.0,3660.0,6.8,0.0,JUST NOW,JUST NOW,5_TO_9_YRS,Not Delinquent
9888,5000,155.38,MORTGAGE,5416.67,790.0,21.0,1576.0,5.7,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9889,5000,155.38,MORTGAGE,5833.33,790.0,36.0,813.0,1.0,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
9892,4500,155.42,MORTGAGE,4166.67,669.0,9.0,21628.0,93.2,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9893,4800,155.45,RENT,2500.0,695.0,44.0,5532.0,62.9,0.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
9894,4700,155.46,OWN,2916.67,695.0,11.0,3228.0,43.0,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9897,4750,155.5,MORTGAGE,3333.33,695.0,25.0,7489.0,39.0,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9898,5000,155.51,MORTGAGE,2700.0,770.0,7.0,3053.0,14.5,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
9899,5000,155.51,MORTGAGE,2400.0,732.0,15.0,13180.0,69.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9900,5000,155.51,MORTGAGE,3500.0,732.0,15.0,0.0,0.0,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9901,5000,155.51,RENT,3500.0,732.0,14.0,1642.0,41.0,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9902,5000,155.51,MORTGAGE,3879.25,770.0,9.0,0.0,0.0,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9903,5000,155.51,RENT,5166.67,732.0,13.0,4524.0,21.5,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9904,5000,155.51,RENT,1957.0,732.0,16.0,7716.0,79.5,2.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
9906,5000,155.51,RENT,4875.0,770.0,9.0,3182.0,25.4,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9907,5000,155.51,RENT,2060.0,770.0,11.0,94.0,1.3,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9908,5000,155.51,MORTGAGE,6083.33,732.0,23.0,21332.0,94.8,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9909,5000,155.51,RENT,4166.67,732.0,13.0,20308.0,61.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9910,5000,155.51,MORTGAGE,2167.0,732.0,12.0,3773.0,42.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9911,5000,155.51,MORTGAGE,3666.67,732.0,29.0,12075.0,35.6,1.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9912,5000,155.51,MORTGAGE,4375.0,732.0,43.0,9204.0,29.3,4.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
9913,5000,155.51,RENT,3250.0,732.0,13.0,1721.0,12.8,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
9914,5000,155.51,OWN,2000.0,695.0,23.0,3819.0,12.8,0.0,LAST YEAR,NEVER,5_TO_9_YRS,Not Delinquent
9915,5000,155.51,MORTGAGE,8416.67,732.0,16.0,5715.0,4.0,1.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
9916,5000,155.51,RENT,4833.33,732.0,21.0,4948.0,90.0,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9917,5000,155.51,RENT,2666.67,732.0,12.0,5279.0,56.8,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9920,5000,155.51,RENT,3008.33,732.0,20.0,8546.0,18.4,0.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
9921,5000,155.51,RENT,6250.0,732.0,15.0,630.0,2.2,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9922,5000,155.51,RENT,4333.33,732.0,13.0,6535.0,33.7,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9923,5000,155.51,MORTGAGE,3200.0,732.0,28.0,5457.0,17.4,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9925,5000,155.51,RENT,6250.0,695.0,16.0,11502.0,49.0,0.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
9926,5000,155.51,RENT,6000.0,732.0,43.0,18808.0,34.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9927,4800,155.52,RENT,2916.67,695.0,12.0,5836.0,68.7,0.0,LAST FIVE,LAST TEN,0_TO_4_YRS,Not Delinquent
9929,5000,155.55,RENT,2000.0,790.0,4.0,1574.0,10.2,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9930,5000,155.55,OWN,9916.67,790.0,36.0,12.0,0.2,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9931,5000,155.55,RENT,3916.67,732.0,10.0,7326.0,18.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9932,5000,155.55,RENT,3416.67,770.0,10.0,499.0,4.8,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9933,5000,155.55,MORTGAGE,4583.33,770.0,28.0,102.0,0.5,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9934,5000,155.55,RENT,5200.0,732.0,17.0,11757.0,42.6,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9935,5000,155.55,RENT,1728.58,732.0,23.0,580.0,52.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9936,5000,155.55,MORTGAGE,4333.0,770.0,11.0,1074.0,4.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9937,5000,155.55,RENT,3500.0,732.0,12.0,2542.0,18.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9938,5000,155.55,MORTGAGE,3955.92,732.0,18.0,5915.0,50.6,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9939,5000,155.55,MORTGAGE,6729.0,732.0,21.0,16108.0,44.0,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9940,5000,155.55,MORTGAGE,3333.33,770.0,44.0,5450.0,11.8,5.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9941,5000,155.55,RENT,2617.0,732.0,32.0,2493.0,9.9,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9942,5000,155.56,RENT,2083.33,770.0,9.0,1844.0,38.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9943,5000,155.56,MORTGAGE,7916.67,770.0,28.0,1803.0,36.1,3.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9944,5000,155.56,RENT,1666.67,770.0,12.0,7968.0,33.2,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9945,5000,155.56,OWN,2083.0,790.0,13.0,5136.0,15.0,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9946,5000,155.56,MORTGAGE,2500.0,790.0,14.0,3730.0,7.9,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
9947,5000,155.56,OWN,2500.0,770.0,12.0,3472.0,28.7,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9948,5000,155.56,MORTGAGE,4166.67,790.0,9.0,1172.0,5.7,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9949,5000,155.56,MORTGAGE,3750.0,732.0,7.0,9623.0,62.4,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9950,5000,155.56,OWN,4416.67,732.0,6.0,9791.0,41.7,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9951,5000,155.56,RENT,2916.67,770.0,11.0,4243.0,16.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9952,5000,155.56,MORTGAGE,4333.33,770.0,12.0,1825.0,13.1,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9953,5000,155.56,MORTGAGE,8083.33,790.0,26.0,1847.0,4.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9954,5000,155.56,RENT,4833.33,732.0,15.0,5312.0,71.8,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9955,5000,155.56,MORTGAGE,2266.67,732.0,13.0,5718.0,53.4,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9956,5000,155.56,RENT,6845.83,732.0,19.0,4604.0,49.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9957,5000,155.56,OWN,2500.0,732.0,14.0,8622.0,70.1,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9958,5000,155.56,MORTGAGE,6666.67,732.0,15.0,20776.0,55.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9960,5000,155.56,RENT,3000.0,770.0,8.0,112.0,0.7,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9961,5000,155.56,MORTGAGE,3600.0,770.0,34.0,1884.0,14.8,4.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
9962,5000,155.56,MORTGAGE,5666.67,732.0,16.0,11542.0,40.6,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9963,5000,155.56,MORTGAGE,4166.67,732.0,25.0,5889.0,36.8,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9964,5000,155.56,RENT,6833.33,732.0,13.0,9329.0,32.4,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9965,5000,155.56,MORTGAGE,5416.67,770.0,20.0,4261.0,9.1,4.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
9966,5000,155.56,OWN,4506.67,732.0,21.0,941.0,2.0,0.0,NEVER,LAST TEN,10_YRS_PLUS,Not Delinquent
9967,5000,155.56,MORTGAGE,9583.33,732.0,16.0,6904.0,21.6,3.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9968,5000,155.56,RENT,3187.5,732.0,14.0,8992.0,58.9,3.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9969,5000,155.56,MORTGAGE,2916.67,770.0,10.0,809.0,4.9,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9971,5000,155.56,MORTGAGE,5750.0,732.0,32.0,8356.0,8.5,1.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9972,5000,155.56,RENT,2280.0,770.0,13.0,157.0,0.9,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9973,5000,155.56,RENT,3333.0,732.0,30.0,8604.0,61.5,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9974,5000,155.56,MORTGAGE,7916.67,732.0,44.0,6090.0,54.3,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9977,5000,155.56,OWN,3476.5,732.0,19.0,7755.0,16.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9979,5000,155.56,MORTGAGE,4583.33,732.0,33.0,20060.0,59.9,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9980,5000,155.56,RENT,2000.0,732.0,39.0,3987.0,25.7,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9981,5000,155.56,RENT,7071.25,732.0,18.0,7295.0,20.5,2.0,LAST TEN,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
9983,5000,155.56,MORTGAGE,3750.0,732.0,39.0,19482.0,27.7,4.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
9984,5000,155.56,RENT,3333.33,732.0,39.0,5853.0,24.2,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9985,5000,155.56,MORTGAGE,3900.0,732.0,26.0,5642.0,11.2,3.0,NEVER,LAST TEN,PRES_NOT_EMPLOYED,Not Delinquent
9986,5000,155.56,RENT,3583.33,770.0,24.0,27.0,0.1,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9987,5000,155.56,OWN,1250.0,732.0,20.0,4104.0,43.2,0.0,LAST TEN,NEVER,5_TO_9_YRS,Not Delinquent
9988,5000,155.56,MORTGAGE,4200.0,732.0,36.0,1175.0,42.0,3.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9989,5000,155.56,OWN,1882.0,732.0,38.0,3762.0,16.0,1.0,LAST TEN,LAST TEN,PRES_NOT_EMPLOYED,Not Delinquent
9990,4900,155.6,RENT,4166.67,732.0,8.0,3622.0,29.7,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9991,6400,155.61,RENT,3500.0,695.0,19.0,973.0,24.5,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9992,4500,155.65,RENT,3339.0,695.0,7.0,3265.0,93.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9993,4500,155.65,MORTGAGE,9166.67,669.0,25.0,3930.0,24.6,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
9994,7000,155.68,OWN,4666.67,770.0,10.0,1481.0,14.2,1.0,LAST TEN,NEVER,5_TO_9_YRS,Not Delinquent
9995,7000,155.68,MORTGAGE,8871.0,732.0,31.0,10253.0,62.1,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9996,7000,155.68,RENT,2250.0,732.0,34.0,3802.0,24.2,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
9997,7000,155.68,MORTGAGE,6250.0,695.0,23.0,8803.0,36.1,0.0,LAST TEN,NEVER,5_TO_9_YRS,Not Delinquent
9998,4900,155.69,RENT,4166.67,770.0,7.0,5076.0,22.7,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
9999,4900,155.69,RENT,8916.67,732.0,21.0,26192.0,54.5,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10000,4800,155.7,RENT,4050.0,695.0,15.0,39.0,2.2,1.0,LAST TEN,NEVER,0_TO_4_YRS,Not Delinquent
10001,4800,155.7,RENT,3333.33,695.0,11.0,7649.0,95.6,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
10002,4800,155.7,MORTGAGE,3083.33,695.0,9.0,3731.0,50.4,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
10003,4800,155.7,RENT,4166.67,695.0,17.0,780.0,26.0,2.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
10005,4800,155.7,MORTGAGE,10000.0,695.0,32.0,19041.0,79.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10006,4800,155.7,MORTGAGE,7500.0,695.0,45.0,12486.0,49.9,2.0,NEVER,LAST TEN,0_TO_4_YRS,Not Delinquent
10007,6400,155.71,OWN,10833.33,669.0,23.0,14815.0,80.6,1.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
10008,4800,155.72,RENT,2600.0,732.0,8.0,2849.0,95.0,0.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Delinquent
10009,4800,155.72,RENT,4166.67,695.0,8.0,5309.0,31.2,0.0,LAST YEAR,NEVER,5_TO_9_YRS,Not Delinquent
10010,4800,155.72,MORTGAGE,4665.0,695.0,30.0,16428.0,88.3,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
10011,4800,155.72,RENT,4166.67,695.0,12.0,3589.0,56.1,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10012,4800,155.72,RENT,3750.0,695.0,15.0,7962.0,77.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10013,4475,155.72,RENT,3640.0,669.0,29.0,4489.0,33.5,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10014,6200,155.73,RENT,3466.67,695.0,4.0,2949.0,45.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10015,6000,155.75,OWN,2583.33,669.0,14.0,7996.0,93.0,1.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
10016,4800,155.75,RENT,1907.0,732.0,9.0,2194.0,15.8,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10017,6000,155.75,RENT,3200.0,669.0,10.0,3347.0,83.7,1.0,LAST FIVE,LAST TEN,0_TO_4_YRS,Not Delinquent
10018,4800,155.75,MORTGAGE,3000.0,732.0,15.0,1139.0,10.4,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10020,4750,155.76,RENT,1200.0,695.0,7.0,7743.0,73.7,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10021,4750,155.78,RENT,666.67,732.0,6.0,1382.0,27.6,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10022,6000,155.78,MORTGAGE,3333.33,669.0,28.0,7376.0,53.8,4.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
10023,5000,155.81,MORTGAGE,3500.0,770.0,19.0,1430.0,7.6,4.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
10024,5000,155.81,RENT,7333.33,732.0,19.0,25223.0,83.8,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
10025,5000,155.81,RENT,6166.67,732.0,16.0,6847.0,24.9,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
10026,5000,155.81,MORTGAGE,2231.25,732.0,18.0,4733.0,19.6,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
10027,5000,155.81,MORTGAGE,3000.0,732.0,25.0,2407.0,10.2,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
10028,5000,155.81,MORTGAGE,4058.33,732.0,24.0,8618.0,23.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10029,5125,155.89,RENT,5000.0,770.0,26.0,13482.0,34.8,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
10030,5000,155.9,RENT,9000.0,732.0,8.0,12297.0,81.4,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
10031,5000,155.9,RENT,8333.33,732.0,11.0,8755.0,45.1,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
10032,5000,155.9,RENT,5083.33,695.0,13.0,18678.0,83.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10033,5000,155.9,MORTGAGE,6250.0,732.0,31.0,3622.0,27.4,3.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
10034,5000,155.9,MORTGAGE,2000.0,732.0,19.0,10451.0,52.0,2.0,NEVER,NEVER,10_YRS_PLUS,Delinquent
10035,5000,155.9,RENT,2477.5,695.0,17.0,2156.0,49.0,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
10036,5000,155.9,MORTGAGE,5000.0,732.0,11.0,195.0,2.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10037,5000,155.9,MORTGAGE,4583.33,732.0,20.0,17258.0,42.7,2.0,NEVER,LAST TEN,0_TO_4_YRS,Not Delinquent
10038,5000,155.9,MORTGAGE,5000.0,732.0,20.0,4797.0,9.7,1.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
10039,5000,155.9,MORTGAGE,6792.5,695.0,35.0,13200.0,34.5,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
10041,5050,155.91,MORTGAGE,6000.0,732.0,43.0,25818.0,32.5,0.0,LAST FIVE,NEVER,5_TO_9_YRS,Not Delinquent
10043,5000,155.95,MORTGAGE,4000.0,790.0,10.0,52.0,0.3,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10044,5000,155.95,RENT,2333.33,790.0,5.0,103.0,1.5,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
10045,5000,155.95,ANY,4166.67,790.0,18.0,14020.0,38.5,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10046,5000,155.95,MORTGAGE,3333.33,790.0,28.0,257.0,1.4,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
10047,5000,155.96,RENT,2666.67,790.0,8.0,695.0,8.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10048,5000,155.96,MORTGAGE,10000.0,790.0,22.0,2660.0,23.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10049,5000,155.96,MORTGAGE,9416.67,790.0,13.0,4333.0,17.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10050,5000,155.96,RENT,2990.0,790.0,20.0,4787.0,10.8,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10051,5000,155.96,OWN,2500.0,770.0,21.0,14263.0,21.0,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
10052,5000,155.96,MORTGAGE,3359.0,790.0,19.0,5312.0,7.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10053,5000,155.96,RENT,10000.0,770.0,15.0,5081.0,5.1,3.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10054,5000,155.96,MORTGAGE,7833.33,770.0,42.0,3839.0,6.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10055,5000,155.96,MORTGAGE,8750.0,770.0,38.0,3272.0,5.8,3.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10056,5125,155.99,MORTGAGE,9166.67,790.0,11.0,10851.0,19.8,3.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10057,5000,156.1,MORTGAGE,4667.0,770.0,17.0,33215.0,65.1,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
10058,5000,156.1,OWN,5589.04,770.0,14.0,4814.0,23.5,0.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
10059,5000,156.1,MORTGAGE,3291.67,790.0,20.0,2629.0,8.8,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
10060,5000,156.1,RENT,6525.0,732.0,12.0,13899.0,36.0,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10061,5000,156.1,RENT,5833.33,770.0,16.0,2663.0,22.2,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
10062,5000,156.1,RENT,5250.0,790.0,10.0,1137.0,4.3,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10063,5000,156.1,MORTGAGE,2525.0,770.0,24.0,15813.0,75.7,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10064,5000,156.1,OWN,3260.33,770.0,19.0,11305.0,52.6,3.0,NEVER,NEVER,10_YRS_PLUS,Not Delinquent
10065,5000,156.1,RENT,3293.0,732.0,12.0,2326.0,25.0,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
10066,5000,156.1,RENT,5625.0,770.0,16.0,1248.0,9.3,0.0,LAST FIVE,NEVER,0_TO_4_YRS,Not Delinquent
10067,5000,156.1,OWN,1250.0,770.0,24.0,11602.0,37.9,2.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
